,Paper Title,Author,Affiliation,Conference,Year,Link to Paper,Code,Available,ReadMe,RepoGoal,TrainedModel,Out-of-box,Runs,Output,Data_Available,Train/test,Reason,ModelUsed,Hyperparameters,Training Described
620,SmarTest: Effectively Hunting Vulnerable Transaction Sequences in Smart Contracts through Language Model-Guided Symbolic Execution,"Sunbeom So, Seongjoon Hong, Hakjoo Oh",0,Usenix,2021,https://www.usenix.org/system/files/sec21-so.pdf,1,1,1,1,0,0,0,0,1,0,-1,NLP,2,2
621,Explanation-Guided Backdoor Poisoning Attacks Against Malware Classifiers,"Giorgio Severi, Jim Meyer, Scott Coull, Alina Oprea",2,Usenix,2021,https://www.usenix.org/system/files/sec21-severi.pdf,1,1,1,0,0,1,1,1,4,1,-1,LightGBM,2,2
622,Blind Backdoors in Deep Learning Models,"Eugene Bagdasaryan, Vitaly Shmatikov",0,Usenix,2021,https://www.usenix.org/system/files/sec21-bagdasaryan.pdf,1,1,1,0,1,0,0,0,4,1,-1,ImageNet,2,2
628,Finding Bugs Using Your Own Code: Detecting Functionally-similar yet Inconsistent Code,"Mansour Ahmadi, Reza Mirzazade Farkhani, Ryan Williams, and Long Lu",0,Usenix,2021,https://www.usenix.org/system/files/sec21-ahmadi.pdf,1,1,2,0,0,0,0,0,0,0,0,"Clustering, graph2vec",0,0
629,GForce: GPU-Friendly Oblivious and Rapid Neural Network Inference,Lucien K. L. Ng and Sherman S. M. Chow,0,Usenix,2021,https://www.usenix.org/system/files/sec21-ng.pdf,1,3,1,0,1,1,1,1,0,0,0,DNN,0,1
634,Cost-Aware Robust Tree Ensembles for Security Applications,"Yizheng Chen, Shiqi Wang, Weifan Jiang, Asaf Cidon, and Suman Jana",0,Usenix,2021,https://www.usenix.org/system/files/sec21-chen-yizheng.pdf,1,1,1,0,1,1,1,1,1,1,-1,Random Forest,2,2
636,SLAP: Improving Physical Adversarial Examples with Short-Lived Adversarial Perturbations,"Giulio Lovisotto, Henry Turner, and Ivo Sluganovic, Martin Strohmeier, Ivan Martinovic",0,Usenix,2021,https://www.usenix.org/system/files/sec21-lovisotto.pdf,1,1,2,0,1,1,1,2,0,0,0,"Lisa-CNN, Gtsrb-CNN",2,2
637,Adversarial Policy Training against Deep Reinforcement Learning,"Xian Wu, Wenbo Guo, Hua Wei, and Xinyu Xing",0,Usenix,2021,https://www.usenix.org/system/files/sec21-wu-xian.pdf,1,1,2,0,1,0,0,0,1,1,-1,Reinforcement Learning,2,2
640,Entangled Watermarks as a Defense against Model Extraction,"Hengrui Jia and Christopher A. Choquette-Choo, Varun Chandrasekaran, Nicolas Papernot",0,Usenix,2021,https://www.usenix.org/system/files/sec21-jia.pdf,1,1,2,0,0,1,1,1,4,1,-1,ResNet,2,2
643,Systematic Evaluation of Privacy Risks of Machine Learning Models,Liwei Song and Prateek Mittal,0,Usenix,2021,https://www.usenix.org/system/files/sec21-song.pdf,1,1,1,0,1,2,0,0,1,1,-1,"DenseNet, AlexNet, ResNet, Wide ResNet, VGG",1,0
648,Defeating DNN-Based Traffic Analysis Systems in Real-Time With Blind Adversarial Perturbations,"Milad Nasr, Alireza Bahramali, and Amir Houmansadr",0,Usenix,2021,https://www.usenix.org/system/files/sec21-nasr.pdf,1,1,1,2,0,0,0,0,1,1,-1,DNN,1,1
649,Cerebro: A Platform for Multi-Party Cryptographic Collaborative Learning,"Wenting Zheng, Ryan Deng, Weikeng Chen, and Raluca Ada Popa, Aurojit Panda, Ion Stoica",0,Usenix,2021,https://www.usenix.org/system/files/sec21-zheng.pdf,1,1,2,2,0,0,0,0,0,0,0,"Decision Trees, ADMM",0,0
650,Dirty Road Can Attack: Security of Deep Learning based Automated Lane Centering under Physical-World Attack,"Takami Sato, Junjie Shen, and Ningfei Wang, Yunhan Jia, Xue Lin,  Qi Alfred Chen",1,Usenix,2021,https://www.usenix.org/system/files/sec21-sato.pdf,1,1,2,0,1,1,1,1,1,1,-1,DNN,0,0
653,SiamHAN: IPv6 Address Correlation Attacks on TLS Encrypted Traffic via Siamese Heterogeneous Graph Attention Network,"Tianyu Cui, Gaopeng Gou, Gang Xiong, Zhen Li, Mingxin Cui, and Chang Liu",0,Usenix,2021,https://www.usenix.org/system/files/sec21-cui.pdf,1,3,1,1,1,1,1,1,1,1,-1,Siamese Networks,0,2
655,To Err.Is Human: Characterizing the Threat of Unintended URLs in Social Media,"Beliz Kaleli Boston, Brian Kondracki, Manuel Egele, Nick Nikiforakis, Gianluca Stringhini",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_3A-4_24322_paper.pdf,1,4,0,2,1,0,0,0,0,0,0,"SVM (final), evaluated KNN, RFC",1,1
664,Evading Voltage-Based Intrusion Detection on Automotive CAN,"Rohit Bhatia, Vireshwar Kumar, Khaled Serag, Z. Berkay Celik, Mathias Payer and Dongyan Xu",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_6B-1_23013_paper.pdf,1,6,0,2,0,0,0,0,0,0,0,Logistic Regression,0,2
666,FLTrust: Byzantine-robust Federated Learning via Trust Bootstrapping,"Xiaoyu Cao, Minghong Fang, Jia Liu, Neil Zhenqiang Gong",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_6C-2_24434_paper.pdf,1,5,2,2,0,0,0,0,4,1,-1,"CNN, Logistic Regression",1,0
667,Manipulating the Byzantine: Optimizing Model Poisoning Attacks and Defenses for Federated Learning,"Virat Shejwalkar, Amir Houmansadr",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_6C-3_24498_paper.pdf,1,3,0,0,0,0,0,0,4,1,-1,"AlexNet, VGG11",0,1
669,FlowLens: Enabling Efficient Flow Classification for ML-based Network Security Applications,"Diogo Barradas, Nuno Santos, Lu ́ıs Rodrigues, Salvatore Signorello, Fernando M. V. Ramos, Andre ́ Madeira",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_7C-2_24067_paper.pdf,1,1,1,0,1,0,0,0,4,1,-1,"NB, XGBoost, RFC",0,0
670,Trust the Crowd: Wireless Witnessing to Detect Attacks on ADS-B-Based Air-Traffic Surveillance,"Kai Jansen, Liang Niu, Nian Xue, Ivan Martinovic, Christina Pöpper",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_1A-5_24552_paper.pdf,1,1,0,0,0,0,0,0,2,0,-1,Decision Trees,1,0
671,"XDA: Accurate, Robust Disassembly with Transfer Learning","Kexin Pei, Jonas Guan, David Williams-King, Junfeng Yang, Suman Jana",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_1B-3_23112_paper.pdf,1,1,2,0,1,0,1,1,4,1,-1,Masked-Language Model,2,2
681,Dissecting Click Fraud Autonomy in the Wild,"Tong Zhu, Yan Meng, Haotian Hu, Xiaokuan Zhang, Minhui Xue, Haojin Zhu",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484546,1,4,1,2,0,0,0,0,0,0,0,VAE,0,0
687,TSS: Transformation-Specific Smoothing for Robustness Certification,"Linyi Li, Maurice Weber, Xiajun Xu, Luka Rimanic, Bhavya Kailkhura, Tao Xie, Ce Zhang, Bo Li",,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3485258,1,1,2,0,0,1,1,1,4,1,-1,CNN,1,1
691,Quantifying and Mitigating Privacy Risks of Contrastive Learning,Xinlei He and Yang Zhang,0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484571,1,1,2,0,0,0,0,0,1,1,-1,3-Layer MLP,2,2
692,Membership Inference Attacks Against Recommender Systems,"Minxing Zhang, Zhaochun Ren, Zihan Wang, Pengjie Ren, Zhumin Chen, Pengfei Hu, Yang Zhang",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484770,1,1,1,0,0,0,0,0,1,0,-1,2-Layer MLP,2,2
693,Membership Leakage in Label-Only Exposures,Zheng Li and Yang Zhang,0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484575,1,1,0,0,0,0,0,0,1,1,-1,CNN,1,1
694,"When Machine Unlearning Jeopardizes Privacy
","Min Chen, Zhikun Zhang, Tianhao Wang, Michael Backes,
Mathias Humbert, Yang Zhang",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484756,1,1,1,0,0,0,0,0,3,0,0,CNN,2,1
702,Unleashing the Tiger: Inference Attacks on Split Learning,"Dario Pasquini, Giuseppe Ateniese, Massimo Bernaschi",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3485259,1,1,1,2,0,1,1,0,1,1,-1,CNN,2,2
703,Locally Private Graph Neural Networks,"Sina Sajadmanesh, Daniel Gatica-Perez",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484565,1,1,2,0,0,0,0,0,1,1,-1,GNN,2,2
704,DataLens: Scalable Privacy Preserving Training via Gradient Compression and Aggregation,"Boxin Wang, Fan Wu, Yunhui Long, Luka Rimanic, Ce Zhang, Bo Li",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484579,1,1,2,0,0,0,1,1,1,1,-1,DCGAN,2,2
708,Consistency Analysis of Data-Usage Purposes in Mobile Apps,"Duc Bui, Yuan Yo, Kang G. Shin, Jong-Min Choi, Junbum Shin",1,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484536,1,1,2,0,0,0,0,0,4,1,-1,"neural Semantic Role lablel model, LR, MLP, RF",1,1
711,Hidden Backdoors in Human-Centric Language Models,"Shaofeng Li, Hui Liu, Tian Dong, Benjamin Zi Hao Zhao,Minhui Xue, Haojin Zhu, Jialiang Lu",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484576,1,1,2,0,1,1,1,1,1,1,-1,DNN,1,2
713,Feature-Indistinguishable Attack to Circumvent Trapdoor-Enabled Defense,"Chaoxiang He, Bin Benjamin Zhu, Xiaojing Ma, Hai Jin, Shengshan Hu",1,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3485378,1,1,1,0,0,-1,1,1,1,1,-1,"CNN (ResNet, ResNet50)",2,2
714,DetectorGuard: Provably Securing Object Detectors against Localized Patch Hiding Attacks,"Chong Xiang, Prateek Mittal",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484757,1,1,1,0,0,1,1,1,1,1,-1,"CNN, ResNet",1,2
717,PalmTree: Learning an Assembly Language Model for Instruction Embedding,"Xuezixiang Li, Yu Qu, Heng Yin",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484587,1,1,1,1,1,0,0,0,0,0,0,BERT,1,2
719,COINN: Crypto/ML Codesign for Oblivious Inference via Neural Networks,"Siam Umar Hussain, Mojan Javaheripi, Mohammad Samragh, Farinaz Koushanfar",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484797,1,1,2,0,0,0,0,0,1,1,-1,DNN,1,2
721,Realtime Robust Malicious Traffic Detection via Frequency Domain Analysis,"Chuanpu Fu, Qi Li, Meng Shen, Ke Xu",,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484585,1,4,1,1,0,0,0,0,1,1,-1,Auto-Encoder,2,1
723,Adversarial Watermarking Transformer: Towards Tracing Text Provenance with Data Hiding,Sahar Abdelnabi and Mario Fritz,0,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519400,1,1,2,0,0,0,0,0,1,1,-1,BERT,1,1
724,Machine Unlearning,"Lucas Bourtoule, Varun Chandrasekaran, Christopher A. Choquette-Choo, Hengrui Jia, Adelin Travers, Baiwu Zhang, David Lie, Nicolas Papernot",0,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519428,1,1,1,1,0,0,0,0,1,1,-1,"ResNet, DNN, CNN",1,1
726,Invisible for both Camera and LiDAR: Security of Multi-Sensor Fusion based Perception in Autonomous Driving Under Physical-World Attacks,"Yulong Cao, Ningfei Wang, Chaowei Xiao, Dawei Yang, Jin Fang, Ruigang Yang, Qi Alfred Chen, Mingyan Liu, Bo Li",1,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519442,1,3,2,0,1,0,0,0,1,1,-1,YOLO,1,1
734,SIRNN: A Math Library for Secure RNN Inference,"Deevashwer Rathee, Mayank Rathee, Rahul Kranti Kiran Goli, Divya Gupta, Rahul Sharma, Nishanth Chandran, Aseem Rastogi",,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519413,1,1,2,2,0,0,0,0,1,1,-1,"CNN, RNN",-1,-1
735,CRYPTGPU: Fast Privacy-Preserving Machine Learning on the GPU,"Sijun Tan, Brian Knott, Yuan Tian, David J. Wu",1,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519386,1,3,2,2,0,0,0,0,1,1,-1,CNN,-1,-1
740,Improving Password Guessing via Representation Learning,"Dario Pasquini, Ankit Gangwal, Giuseppe Ateniese, Massimo Bernaschi, Mauro Conti",0,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519399,1,1,1,0,1,0,1,1,1,1,-1,GAN,2,2
742,Runtime Recovery of Web Applications under Zero-Day ReDoS Attacks,"Zhihao Bai, Ke Wang, Hang Zhu, Yinzhi Cao, Xin Jin",0,S&P,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519496,1,1,2,0,0,1,1,1,0,0,0,DNN,2,2
